,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
945,,Italy,Bundesliga,Giulio Donati,Bayer Leverkusen1. FSV Mainz 05,2015-2016,1,0,,2015
946,,Brazil,Bundesliga,Bruno Henrique,VfL Wolfsburg,2015-2016,1,0,,2015
947,,Germany,Bundesliga,Max Christiansen,FC Ingolstadt 04,2015-2016,1,0,,2015
948,,Germany,Bundesliga,Luca Waldschmidt,Eintracht Frankfurt,2015-2016,1,0,,2015
949,,Germany,Bundesliga,Johannes van den Bergh,Hertha BSC,2015-2016,1,0,,2015
950,,South Korea,Bundesliga,Dong-won Ji,FC Augsburg,2015-2016,1,0,,2015
951,,Germany,Bundesliga,Roberto Hilbert,Bayer Leverkusen,2015-2016,1,0,,2015
952,,Chile,Bundesliga,Miiko Albornoz,Hannover 96,2015-2016,1,0,,2015
953,,Germany,Bundesliga,Dennis Aogo,FC Schalke 04,2015-2016,1,0,,2015
954,,Germany,Bundesliga,Benjamin Henrichs,Bayer Leverkusen,2015-2016,1,0,,2015
955,,Germany,Bundesliga,Christian Träsch,VfL Wolfsburg,2015-2016,1,0,,2015
956,,Ukraine,Bundesliga,Borys Tashchy,VfB Stuttgart,2015-2016,1,0,,2015
957,,Norway,Bundesliga,Per Skjelbred,Hertha BSC,2015-2016,1,0,,2015
958,,Switzerland,Bundesliga,Pirmin Schwegler,1899 Hoffenheim,2015-2016,1,0,,2015
959,,Germany,Bundesliga,Daniel Schwaab,VfB Stuttgart,2015-2016,1,0,,2015
960,,Germany,Bundesliga,Marvin Schulz,Bor. Mönchengladbach,2015-2016,1,0,,2015
961,,Bosnia-Herzegovina,Bundesliga,Emir Spahić,Hamburger SV,2015-2016,1,0,,2015
962,,Spain,Bundesliga,Juan Bernat,Bayern München,2015-2016,1,0,,2015
963,,Germany,Bundesliga,Niklas Süle,1899 Hoffenheim,2015-2016,1,0,,2015
964,,Germany,Bundesliga,Dominik Stroh-Engel,SV Darmstadt 98,2015-2016,1,0,,2015
965,,Germany,Bundesliga,Tobias Strobl,1899 Hoffenheim,2015-2016,1,0,,2015
966,,Germany,Bundesliga,René Adler,Hamburger SV,2015-2016,1,0,,2015
967,,Poland,Bundesliga,Robert Lewandowski,Bayern München,2016-2017,6,30,1.,2016
968,,Gabon,Bundesliga,Pierre-Emerick Aubameyang,Borussia Dortmund,2016-2017,2,31,2.,2016
969,,France,Bundesliga,Anthony Modeste,1. FC Köln,2016-2017,4,25,3.,2016
970,,Sweden,Bundesliga,Emil Forsberg,RB Leipzig,2016-2017,21,8,,2016
971,,Germany,Bundesliga,Timo Werner,RB Leipzig,2016-2017,7,21,5.,2016
972,,Netherlands,Bundesliga,Arjen Robben,Bayern München,2016-2017,11,13,6.,2016
973,,Croatia,Bundesliga,Andrej Kramarić,1899 Hoffenheim,2016-2017,8,15,7.,2016
974,,Germany,Bundesliga,Max Kruse,Werder Bremen,2016-2017,7,15,8.,2016
975,,France,Bundesliga,Ousmane Dembélé,Borussia Dortmund,2016-2017,12,6,9.,2016
976,,Germany,Bundesliga,Thomas Müller,Bayern München,2016-2017,13,5,,2016
977,,Germany,Bundesliga,Mario Gomez,VfL Wolfsburg,2016-2017,1,16,11.,2016
978,,Bosnia-Herzegovina,Bundesliga,Vedad Ibišević,Hertha BSC,2016-2017,5,12,,2016
979,,Germany,Bundesliga,Lars Stindl,Bor. Mönchengladbach,2016-2017,6,11,,2016
980,,Germany,Bundesliga,Fin Bartels,Werder Bremen,2016-2017,9,8,,2016
981,,Italy,Bundesliga,Vincenzo Grifo,SC Freiburg,2016-2017,11,6,,2016
982,,France,Bundesliga,Franck Ribéry,Bayern München,2016-2017,11,5,16.,2016
983,,Germany,Bundesliga,Nils Petersen,SC Freiburg,2016-2017,5,10,17.,2016
984,,Turkey,Bundesliga,Yunus Mallı,VfL Wolfsburg1. FSV Mainz 05,2016-2017,8,7,,2016
985,,Japan,Bundesliga,Yuya Osako,1. FC Köln,2016-2017,8,7,,2016
986,,Germany,Bundesliga,Kerem Demirbay,1899 Hoffenheim,2016-2017,9,6,,2016
987,,Germany,Bundesliga,Sandro Wagner,1899 Hoffenheim,2016-2017,3,11,21.,2016
988,,Mexico,Bundesliga,Javier Hernández,Bayer Leverkusen,2016-2017,3,11,,2016
989,,Germany,Bundesliga,Serge Gnabry,Werder Bremen,2016-2017,3,11,,2016
990,,Guinea,Bundesliga,Naby Keïta,RB Leipzig,2016-2017,6,8,,2016
991,,Germany,Bundesliga,Florian Niederlechner,SC Freiburg,2016-2017,2,11,25.,2016
992,,Ivory Coast,Bundesliga,Salomon Kalou,Hertha BSC,2016-2017,6,7,,2016
993,,Austria,Bundesliga,Zlatko Junuzović,Werder Bremen,2016-2017,9,4,,2016
994,,Germany,Bundesliga,Maximilian Philipp,SC Freiburg,2016-2017,3,9,28.,2016
995,,Austria,Bundesliga,Marcel Sabitzer,RB Leipzig,2016-2017,4,8,,2016
996,,Germany,Bundesliga,Marco Reus,Borussia Dortmund,2016-2017,5,7,,2016
997,,Mexico,Bundesliga,Marco Fabián,Eintracht Frankfurt,2016-2017,5,7,,2016
998,,Portugal,Bundesliga,Raphaël Guerreiro,Borussia Dortmund,2016-2017,6,6,,2016
999,,Germany,Bundesliga,Nicolai Müller,Hamburger SV,2016-2017,7,5,,2016
1000,,Germany,Bundesliga,Julian Brandt,Bayer Leverkusen,2016-2017,9,3,,2016
1001,,Austria,Bundesliga,Guido Burgstaller,FC Schalke 04,2016-2017,2,9,35.,2016
1002,,Turkey,Bundesliga,Hakan Çalhanoğlu,Bayer Leverkusen,2016-2017,5,6,,2016
1003,,Spain,Bundesliga,Thiago,Bayern München,2016-2017,5,6,,2016
1004,,Paraguay,Bundesliga,Dario Lezcano,FC Ingolstadt 04,2016-2017,5,6,,2016
1005,,Germany,Bundesliga,Levin Öztunali,1. FSV Mainz 05,2016-2017,6,5,,2016
1006,,USA,Bundesliga,Christian Pulisic,Borussia Dortmund,2016-2017,8,3,,2016
1007,,Germany,Bundesliga,Sebastian Rudy,1899 Hoffenheim,2016-2017,9,2,,2016
1008,,Germany,Bundesliga,Mark Uth,1899 Hoffenheim,2016-2017,3,7,42.,2016
1009,,Belgium,Bundesliga,Thorgan Hazard,Bor. Mönchengladbach,2016-2017,4,6,,2016
1010,,Colombia,Bundesliga,Jhon Córdoba,1. FSV Mainz 05,2016-2017,5,5,,2016
1011,,Denmark,Bundesliga,Yussuf Poulsen,RB Leipzig,2016-2017,5,5,,2016
1012,,Algeria,Bundesliga,Nabil Bentaleb,FC Schalke 04,2016-2017,5,5,,2016
1013,,Hungary,Bundesliga,Ádám Szalai,1899 Hoffenheim,2016-2017,1,8,47.,2016
1014,,Israel,Bundesliga,Almog Cohen,FC Ingolstadt 04,2016-2017,2,7,,2016
1015,,Austria,Bundesliga,Alessandro Schöpf,FC Schalke 04,2016-2017,3,6,,2016
1016,,Germany,Bundesliga,Kevin Volland,Bayer Leverkusen,2016-2017,3,6,,2016
1017,,Turkey,Bundesliga,Halil Altintop,FC Augsburg,2016-2017,3,6,,2016
1018,,Germany,Bundesliga,Leon Goretzka,FC Schalke 04,2016-2017,4,5,,2016
1019,,Germany,Bundesliga,Pascal Groß,FC Ingolstadt 04,2016-2017,4,5,,2016
1020,,Austria,Bundesliga,Markus Suttner,FC Ingolstadt 04,2016-2017,5,4,,2016
1021,,Germany,Bundesliga,Kai Havertz,Bayer Leverkusen,2016-2017,5,4,,2016
1022,,Germany,Bundesliga,Marcel Heller,SV Darmstadt 98,2016-2017,6,3,,2016
1023,,Germany,Bundesliga,Gonzalo Castro,Borussia Dortmund,2016-2017,6,3,,2016
1024,,Argentina,Bundesliga,Pablo de Blasis,1. FSV Mainz 05,2016-2017,3,5,58.,2016
1025,,Switzerland,Bundesliga,Steven Zuber,1899 Hoffenheim,2016-2017,4,4,,2016
1026,,Austria,Bundesliga,David Alaba,Bayern München,2016-2017,4,4,,2016
1027,,Brazil,Bundesliga,Douglas Costa,Bayern München,2016-2017,4,4,,2016
1028,,Germany,Bundesliga,Daniel Caligiuri,FC Schalke 04VfL Wolfsburg,2016-2017,4,4,,2016
1029,,Bosnia-Herzegovina,Bundesliga,Sead Kolašinac,FC Schalke 04,2016-2017,5,3,,2016
1030,,Germany,Bundesliga,Leonardo Bittencourt,1. FC Köln,2016-2017,5,3,,2016
1031,,Germany,Bundesliga,Jérôme Gondorf,SV Darmstadt 98,2016-2017,5,3,,2016
1032,,Cameroon,Bundesliga,Eric Maxim Choupo-Moting,FC Schalke 04,2016-2017,5,3,,2016
1033,,Germany,Bundesliga,Mahmoud Dahoud,Bor. Mönchengladbach,2016-2017,6,2,,2016
1034,,Germany,Bundesliga,Karim Bellarabi,Bayer Leverkusen,2016-2017,6,2,,2016
1035,,Brazil,Bundesliga,Raffael,Bor. Mönchengladbach,2016-2017,0,7,69.,2016
1036,,Germany,Bundesliga,Joshua Kimmich,Bayern München,2016-2017,1,6,,2016
1037,,Germany,Bundesliga,Alexander Meier,Eintracht Frankfurt,2016-2017,2,5,,2016
1038,,USA,Bundesliga,Bobby Wood,Hamburger SV,2016-2017,2,5,,2016
1039,,Japan,Bundesliga,Yoshinori Mutō,1. FSV Mainz 05,2016-2017,2,5,,2016
1040,,Serbia,Bundesliga,Filip Kostić,Hamburger SV,2016-2017,3,4,,2016
1041,,Switzerland,Bundesliga,Valentin Stocker,Hertha BSC,2016-2017,3,4,,2016
1042,,Serbia,Bundesliga,Miloš Jojić,1. FC Köln,2016-2017,3,4,,2016
1043,,Germany,Bundesliga,Daniel Didavi,VfL Wolfsburg,2016-2017,3,4,,2016
1044,,Chile,Bundesliga,Arturo Vidal,Bayern München,2016-2017,3,4,,2016
1045,,Germany,Bundesliga,Janik Haberer,SC Freiburg,2016-2017,4,3,,2016
1046,,Germany,Bundesliga,Marvin Plattenhardt,Hertha BSC,2016-2017,4,3,,2016
1047,,Japan,Bundesliga,Shinji Kagawa,Borussia Dortmund,2016-2017,6,1,,2016
1048,,Germany,Bundesliga,Lewis Holtby,Hamburger SV,2016-2017,6,1,,2016
1049,,Finland,Bundesliga,Joel Pohjanpalo,Bayer Leverkusen,2016-2017,0,6,83.,2016
1050,,Sweden,Bundesliga,Branimir Hrgota,Eintracht Frankfurt,2016-2017,1,5,,2016
1051,,Germany,Bundesliga,Stefan Bell,1. FSV Mainz 05,2016-2017,1,5,,2016
1052,,Austria,Bundesliga,Michael Gregoritsch,Hamburger SV,2016-2017,1,5,,2016
1053,,Poland,Bundesliga,Łukasz Piszczek,Borussia Dortmund,2016-2017,1,5,,2016
1054,,Czech Republic,Bundesliga,Theodor Gebre Selassie,Werder Bremen,2016-2017,1,5,,2016
1055,,Paraguay,Bundesliga,Raúl Bobadilla,FC Augsburg,2016-2017,2,4,,2016
1056,,Germany,Bundesliga,Aaron Hunt,Hamburger SV,2016-2017,2,4,,2016
1057,,Croatia,Bundesliga,Antonio Čolak,SV Darmstadt 98,2016-2017,2,4,,2016
1058,,Bosnia-Herzegovina,Bundesliga,Mario Vrančić,SV Darmstadt 98,2016-2017,2,4,,2016
1059,,Latvia,Bundesliga,Artjoms Rudņevs,1. FC Köln,2016-2017,3,3,,2016
1060,,Germany,Bundesliga,André Schürrle,Borussia Dortmund,2016-2017,4,2,,2016
1061,,Germany,Bundesliga,Mitchell Weiser,Hertha BSC,2016-2017,4,2,,2016
1062,,Germany,Bundesliga,Marcel Risse,1. FC Köln,2016-2017,4,2,,2016
1063,,Germany,Bundesliga,Nadiem Amiri,1899 Hoffenheim,2016-2017,4,2,,2016
1064,,Germany,Bundesliga,Davie Selke,RB Leipzig,2016-2017,1,4,98.,2016
1065,,Denmark,Bundesliga,Thomas Delaney,Werder Bremen,2016-2017,1,4,,2016
1066,,Denmark,Bundesliga,Jannik Vestergaard,Bor. Mönchengladbach,2016-2017,1,4,,2016
1067,,Germany,Bundesliga,Stefan Kießling,Bayer Leverkusen,2016-2017,1,4,,2016
1068,,Spain,Bundesliga,Xabi Alonso,Bayern München,2016-2017,2,3,,2016
1069,,Netherlands,Bundesliga,Paul Verhaegh,FC Augsburg,2016-2017,2,3,,2016
1070,,South Korea,Bundesliga,Dong-won Ji,FC Augsburg,2016-2017,2,3,,2016
1071,,USA,Bundesliga,Fabian Johnson,Bor. Mönchengladbach,2016-2017,2,3,,2016
1072,,Switzerland,Bundesliga,Ricardo Rodríguez,VfL Wolfsburg,2016-2017,3,2,,2016
1073,,South Korea,Bundesliga,Ja-cheol Koo,FC Augsburg,2016-2017,3,2,,2016
1074,,Germany,Bundesliga,Maximilian Arnold,VfL Wolfsburg,2016-2017,3,2,,2016
1075,,Chile,Bundesliga,Charles Aránguiz,Bayer Leverkusen,2016-2017,3,2,,2016
1076,,Sweden,Bundesliga,Oscar Wendt,Bor. Mönchengladbach,2016-2017,3,2,,2016
1077,,Austria,Bundesliga,Florian Kainz,Werder Bremen,2016-2017,3,2,,2016
1078,,Germany,Bundesliga,Benjamin Hübner,1899 Hoffenheim,2016-2017,3,2,,2016
1079,,Germany,Bundesliga,Danny Latza,1. FSV Mainz 05,2016-2017,0,4,113.,2016
1080,,Greece,Bundesliga,Kostas Stafylidis,FC Augsburg,2016-2017,0,4,,2016
1081,,Austria,Bundesliga,Lukas Hinterseer,FC Ingolstadt 04,2016-2017,1,3,,2016
1082,,Germany,Bundesliga,André Hahn,Bor. Mönchengladbach,2016-2017,1,3,,2016
1083,,Hungary,Bundesliga,Willi Orban,RB Leipzig,2016-2017,1,3,,2016
1084,,Iceland,Bundesliga,Alfreð Finnbogason,FC Augsburg,2016-2017,1,3,,2016
1085,,Germany,Bundesliga,Julian Schieber,Hertha BSC,2016-2017,1,3,,2016
1086,,Hungary,Bundesliga,Szabolcs Huszti,Eintracht Frankfurt,2016-2017,2,2,,2016
1087,,Croatia,Bundesliga,Ante Rebić,Eintracht Frankfurt,2016-2017,2,2,,2016
1088,,Germany,Bundesliga,Simon Zoller,1. FC Köln,2016-2017,2,2,,2016
1089,,Germany,Bundesliga,Niklas Süle,1899 Hoffenheim,2016-2017,2,2,,2016
1090,,Spain,Bundesliga,Juan Bernat,Bayern München,2016-2017,2,2,,2016
1091,,Brazil,Bundesliga,Wendell,Bayer Leverkusen,2016-2017,2,2,,2016
1092,,Germany,Bundesliga,Aymane Barkok,Eintracht Frankfurt,2016-2017,2,2,,2016
1093,,Germany,Bundesliga,Alexander Esswein,Hertha BSC,2016-2017,2,2,,2016
1094,,Czech Republic,Bundesliga,Vladimír Darida,Hertha BSC,2016-2017,2,2,,2016
1095,,Germany,Bundesliga,Diego Demme,RB Leipzig,2016-2017,3,1,,2016
1096,,Germany,Bundesliga,Daniel Baier,FC Augsburg,2016-2017,3,1,,2016
1097,,Germany,Bundesliga,Robert Bauer,Werder Bremen,2016-2017,3,1,,2016
1098,,Germany,Bundesliga,Bastian Oczipka,Eintracht Frankfurt,2016-2017,3,1,,2016
1099,,Germany,Bundesliga,Marco Terrazzino,1899 Hoffenheim,2016-2017,3,1,,2016
1100,,France,Bundesliga,Jonathan Schmid,FC Augsburg,2016-2017,3,1,,2016
1101,,Germany,Bundesliga,Philipp Lahm,Bayern München,2016-2017,3,1,,2016
1102,,Guinea,Bundesliga,Ibrahima Traoré,Bor. Mönchengladbach,2016-2017,3,1,,2016
1103,,Spain,Bundesliga,Bartra,Borussia Dortmund,2016-2017,4,0,,2016
1104,,Germany,Bundesliga,Christoph Kramer,Bor. Mönchengladbach,2016-2017,4,0,,2016
1105,,USA,Bundesliga,Timothy Chandler,Eintracht Frankfurt,2016-2017,4,0,,2016
1106,,Austria,Bundesliga,Martin Hinteregger,FC Augsburg,2016-2017,0,3,140.,2016
1107,,Switzerland,Bundesliga,Admir Mehmedi,Bayer Leverkusen,2016-2017,0,3,,2016
1108,,Switzerland,Bundesliga,Haris Seferović,Eintracht Frankfurt,2016-2017,0,3,,2016
1109,,France,Bundesliga,Romain Brégerie,FC Ingolstadt 04,2016-2017,0,3,,2016
1110,,Turkey,Bundesliga,Aytaç Sulu,SV Darmstadt 98,2016-2017,1,2,,2016
1111,,USA,Bundesliga,John Anthony Brooks,Hertha BSC,2016-2017,1,2,,2016
1112,,Germany,Bundesliga,Dominik Kohr,FC Augsburg,2016-2017,1,2,,2016
1113,,France,Bundesliga,Kingsley Coman,Bayern München,2016-2017,1,2,,2016
1114,,Germany,Bundesliga,Sandro Sirigu,SV Darmstadt 98,2016-2017,1,2,,2016
1115,,Germany,Bundesliga,Sonny Kittel,FC Ingolstadt 04,2016-2017,1,2,,2016
1116,,Netherlands,Bundesliga,Jeffrey Gouweleeuw,FC Augsburg,2016-2017,1,2,,2016
1117,,Germany,Bundesliga,Felix Platte,SV Darmstadt 98,2016-2017,1,2,,2016
1118,,Colombia,Bundesliga,Adrián Ramos,Borussia Dortmund,2016-2017,1,2,,2016
1119,,Switzerland,Bundesliga,Breel Embolo,FC Schalke 04,2016-2017,1,2,,2016
1120,,Germany,Bundesliga,Sidney Sam,SV Darmstadt 98,2016-2017,1,2,,2016
1121,,Spain,Bundesliga,Jairo,1. FSV Mainz 05,2016-2017,1,2,,2016
1122,,Japan,Bundesliga,Gōtoku Sakai,Hamburger SV,2016-2017,2,1,,2016
1123,,Slovenia,Bundesliga,Kevin Kampl,Bayer Leverkusen,2016-2017,2,1,,2016
1124,,Germany,Bundesliga,Thilo Kehrer,FC Schalke 04,2016-2017,2,1,,2016
1125,,Germany,Bundesliga,Danny Blum,Eintracht Frankfurt,2016-2017,2,1,,2016
1126,,Argentina,Bundesliga,Santiago García,Werder Bremen,2016-2017,2,1,,2016
1127,,Brazil,Bundesliga,Rafinha,Bayern München,2016-2017,2,1,,2016
1128,,Germany,Bundesliga,Jonas Hector,1. FC Köln,2016-2017,2,1,,2016
1129,,Japan,Bundesliga,Genki Haraguchi,Hertha BSC,2016-2017,2,1,,2016
1130,,Peru,Bundesliga,Claudio Pizarro,Werder Bremen,2016-2017,2,1,,2016
1131,,Argentina,Bundesliga,David Abraham,Eintracht Frankfurt,2016-2017,2,1,,2016
1132,,Scotland,Bundesliga,Oliver Burke,RB Leipzig,2016-2017,2,1,,2016
1133,,Germany,Bundesliga,Pascal Stenzel,SC Freiburg,2016-2017,2,1,,2016
1134,,Germany,Bundesliga,Mats Hummels,Bayern München,2016-2017,2,1,,2016
1135,,Germany,Bundesliga,Daniel Brosinski,1. FSV Mainz 05,2016-2017,2,1,,2016
1136,,Germany,Bundesliga,Philipp Max,FC Augsburg,2016-2017,2,1,,2016
1137,,Switzerland,Bundesliga,Florent Hadergjonaj,FC Ingolstadt 04,2016-2017,2,1,,2016
1138,,Germany,Bundesliga,Max Meyer,FC Schalke 04,2016-2017,2,1,,2016
1139,,Turkey,Bundesliga,Emre Mor,Borussia Dortmund,2016-2017,2,1,,2016
1140,,Czech Republic,Bundesliga,Pavel Kadeřábek,1899 Hoffenheim,2016-2017,3,0,,2016
1141,,Poland,Bundesliga,Jakub Błaszczykowski,VfL Wolfsburg,2016-2017,3,0,,2016
1142,,Germany,Bundesliga,Clemens Fritz,Werder Bremen,2016-2017,3,0,,2016
1143,,Australia,Bundesliga,Mathew Leckie,FC Ingolstadt 04,2016-2017,3,0,,2016
1144,,Russia,Bundesliga,Konstantin Rausch,1. FC Köln,2016-2017,3,0,,2016
1145,,Greece,Bundesliga,Kyriakos Papadopoulos,Hamburger SVBayer LeverkusenRB Leipzig,2016-2017,0,2,179.,2016
1146,,Kosovo,Bundesliga,Donis Avdijaj,FC Schalke 04,2016-2017,0,2,,2016
1147,,Germany,Bundesliga,Lukas Rupp,1899 Hoffenheim,2016-2017,0,2,,2016
1148,,Germany,Bundesliga,Marvin Compper,RB Leipzig,2016-2017,0,2,,2016
1149,,Denmark,Bundesliga,Andreas Christensen,Bor. Mönchengladbach,2016-2017,0,2,,2016
1150,,Spain,Bundesliga,Borja Mayoral,VfL Wolfsburg,2016-2017,0,2,,2016
1151,,Germany,Bundesliga,Sven Schipplock,SV Darmstadt 98,2016-2017,0,2,,2016
1152,,Greece,Bundesliga,Sokratis Papastathopoulos,Borussia Dortmund,2016-2017,0,2,,2016
1153,,Netherlands,Bundesliga,Klaas Jan Huntelaar,FC Schalke 04,2016-2017,0,2,,2016
1154,,Austria,Bundesliga,Florian Grillitsch,Werder Bremen,2016-2017,0,2,,2016
1155,,Serbia,Bundesliga,Mijat Gaćinović,Eintracht Frankfurt,2016-2017,0,2,,2016
1156,,Germany,Bundesliga,Robin Knoche,VfL Wolfsburg,2016-2017,1,1,,2016
1157,,Spain,Bundesliga,Javi Martínez,Bayern München,2016-2017,1,1,,2016
1158,,USA,Bundesliga,Aron Jóhannsson,Werder Bremen,2016-2017,1,1,,2016
1159,,Germany,Bundesliga,Anthony Jung,FC Ingolstadt 04,2016-2017,1,1,,2016
1160,,Spain,Bundesliga,Vallejo,Eintracht Frankfurt,2016-2017,1,1,,2016
1161,,Germany,Bundesliga,Niklas Stark,Hertha BSC,2016-2017,1,1,,2016
1162,,Germany,Bundesliga,Jonathan Tah,Bayer Leverkusen,2016-2017,1,1,,2016
1163,,Germany,Bundesliga,Jeremy Toljan,1899 Hoffenheim,2016-2017,1,1,,2016
1164,,Germany,Bundesliga,Luca Waldschmidt,Hamburger SV,2016-2017,1,1,,2016
1165,,Germany,Bundesliga,Paul Seguin,VfL Wolfsburg,2016-2017,1,1,,2016
1166,,Germany,Bundesliga,Nico Schulz,Bor. Mönchengladbach,2016-2017,1,1,,2016
1167,,Gambia,Bundesliga,Ousman Manneh,Werder Bremen,2016-2017,1,1,,2016
1168,,Germany,Bundesliga,Matthias Ostrzolek,Hamburger SV,2016-2017,1,1,,2016
1169,,Slovakia,Bundesliga,Peter Pekarík,Hertha BSC,2016-2017,1,1,,2016
1170,,Ukraine,Bundesliga,Yevhen Konoplyanka,FC Schalke 04,2016-2017,1,1,,2016
1171,,Germany,Bundesliga,Lukas Klünter,1. FC Köln,2016-2017,1,1,,2016
1172,,Germany,Bundesliga,Mario Götze,Borussia Dortmund,2016-2017,1,1,,2016
1173,,Germany,Bundesliga,Patrick Herrmann,Bor. Mönchengladbach,2016-2017,1,1,,2016
1174,,Japan,Bundesliga,Makoto Hasebe,Eintracht Frankfurt,2016-2017,1,1,,2016
1175,,Bosnia-Herzegovina,Bundesliga,Ermin Bičakčić,1899 Hoffenheim,2016-2017,1,1,,2016
1176,,Spain,Bundesliga,Bojan,1. FSV Mainz 05,2016-2017,1,1,,2016
1177,,Germany,Bundesliga,Christian Clemens,1. FC Köln1. FSV Mainz 05,2016-2017,1,1,,2016
1178,,Germany,Bundesliga,Nicolas Höfler,SC Freiburg,2016-2017,1,1,,2016
1179,,Germany,Bundesliga,Philipp Bargfrede,Werder Bremen,2016-2017,1,1,,2016
1180,,Germany,Bundesliga,Benedikt Höwedes,FC Schalke 04,2016-2017,1,1,,2016
1181,,Sweden,Bundesliga,Albin Ekdal,Hamburger SV,2016-2017,1,1,,2016
1182,,Germany,Bundesliga,Marcel Halstenberg,RB Leipzig,2016-2017,2,0,,2016
1183,,Argentina,Bundesliga,Franco Di Santo,FC Schalke 04,2016-2017,2,0,,2016
1184,,Ghana,Bundesliga,Abdul Rahman Baba,FC Schalke 04,2016-2017,2,0,,2016
1185,,Germany,Bundesliga,Matthias Lehmann,1. FC Köln,2016-2017,2,0,,2016
1186,,Germany,Bundesliga,Benjamin Henrichs,Bayer Leverkusen,2016-2017,2,0,,2016
1187,,Germany,Bundesliga,Christian Günter,SC Freiburg,2016-2017,2,0,,2016
1188,,Germany,Bundesliga,Tobias Strobl,Bor. Mönchengladbach,2016-2017,2,0,,2016
1189,,Germany,Bundesliga,Erik Durm,Borussia Dortmund,2016-2017,2,0,,2016
1190,,Germany,Bundesliga,Julian Draxler,VfL Wolfsburg,2016-2017,2,0,,2016
1191,,Denmark,Bundesliga,Frederik Sørensen,1. FC Köln,2016-2017,2,0,,2016
1192,,Germany,Bundesliga,Mike Frantz,SC Freiburg,2016-2017,2,0,,2016
1193,,France,Bundesliga,Paul-Georges Ntep,VfL Wolfsburg,2016-2017,2,0,,2016
1194,,Germany,Bundesliga,Yannick Gerhardt,VfL Wolfsburg,2016-2017,2,0,,2016
1195,,Germany,Bundesliga,Benno Schmitz,RB Leipzig,2016-2017,2,0,,2016
1196,,Slovakia,Bundesliga,László Bénes,Bor. Mönchengladbach,2016-2017,0,1,230.,2016
1197,,Netherlands,Bundesliga,Jeffrey Bruma,VfL Wolfsburg,2016-2017,0,1,,2016
1198,,USA,Bundesliga,Terrence Boyd,SV Darmstadt 98,2016-2017,0,1,,2016
1199,,Tunisia,Bundesliga,Änis Ben-Hatira,SV Darmstadt 98,2016-2017,0,1,,2016
1200,,Germany,Bundesliga,Niko Bungert,1. FSV Mainz 05,2016-2017,0,1,,2016
1201,,Tunisia,Bundesliga,Sami Allagui,Hertha BSC,2016-2017,0,1,,2016
1202,,Albania,Bundesliga,Amir Abrashi,SC Freiburg,2016-2017,0,1,,2016
1203,,Germany,Bundesliga,Moritz Hartmann,FC Ingolstadt 04,2016-2017,0,1,,2016
1204,,Senegal,Bundesliga,Lamine Sané,Werder Bremen,2016-2017,0,1,,2016
1205,,Brazil,Bundesliga,Roger,FC Ingolstadt 04,2016-2017,0,1,,2016
1206,,Germany,Bundesliga,Sebastian Rode,Borussia Dortmund,2016-2017,0,1,,2016
1207,,Sweden,Bundesliga,Robin Quaison,1. FSV Mainz 05,2016-2017,0,1,,2016
1208,,Germany,Bundesliga,Aaron Seydel,1. FSV Mainz 05,2016-2017,0,1,,2016
1209,,Switzerland,Bundesliga,Shani Tarashaj,Eintracht Frankfurt,2016-2017,0,1,,2016
1210,,Brazil,Bundesliga,Walace,Hamburger SV,2016-2017,0,1,,2016
1211,,Germany,Bundesliga,Jordan Torunarigha,Hertha BSC,2016-2017,0,1,,2016
1212,,Turkey,Bundesliga,Ömer Toprak,Bayer Leverkusen,2016-2017,0,1,,2016
1213,,Germany,Bundesliga,Lennart Thy,Werder Bremen,2016-2017,0,1,,2016
1214,,Austria,Bundesliga,Karim Onisiwo,1. FSV Mainz 05,2016-2017,0,1,,2016
1215,,Ukraine,Bundesliga,Denys Oliynyk,SV Darmstadt 98,2016-2017,0,1,,2016
1216,,Croatia,Bundesliga,Tin Jedvaj,Bayer Leverkusen,2016-2017,0,1,,2016
1217,,Jamaica,Bundesliga,Michael Hector,Eintracht Frankfurt,2016-2017,0,1,,2016
1218,,Bosnia-Herzegovina,Bundesliga,Izet Hajrović,Werder Bremen,2016-2017,0,1,,2016
1219,,Germany,Bundesliga,Maximilian Eggestein,Werder Bremen,2016-2017,0,1,,2016
1220,,Germany,Bundesliga,Dominik Kaiser,RB Leipzig,2016-2017,0,1,,2016
1221,,Hungary,Bundesliga,László Kleinheisler,SV Darmstadt 98,2016-2017,0,1,,2016
1222,,Brazil,Bundesliga,Naldo,FC Schalke 04,2016-2017,0,1,,2016
1223,,USA,Bundesliga,Alfredo Morales,FC Ingolstadt 04,2016-2017,0,1,,2016
1224,,Germany,Bundesliga,Pierre-Michel Lasogga,Hamburger SV,2016-2017,0,1,,2016
1225,,Spain,Bundesliga,Coke,FC Schalke 04,2016-2017,0,1,,2016
1226,,Germany,Bundesliga,Lars Bender,Bayer Leverkusen,2016-2017,1,0,,2016
1227,,Poland,Bundesliga,Paweł Olkowski,1. FC Köln,2016-2017,1,0,,2016
1228,,Norway,Bundesliga,Håvard Nielsen,SC Freiburg,2016-2017,1,0,,2016
1229,,Czech Republic,Bundesliga,Jan Morávek,FC Augsburg,2016-2017,1,0,,2016
1230,,Finland,Bundesliga,Niklas Moisander,Werder Bremen,2016-2017,1,0,,2016
1231,,Slovakia,Bundesliga,Karim Guédé,SC Freiburg,2016-2017,1,0,,2016
